5398,18519,23018,29539,35396,35671,37220,39201,39202,39203,39204,39205,42540,42542,42544,42545,42562,43404,43709,53484,65776,66177,66178,66179,66180,66181,66182,66183,66184,66185,66186,66187,66188,66189,66190,66191,66192,66193,66194,66195,66196,66197,66198,66199,66200,67283,70439,70476,70628,70630,70680,70684,70703,70737,70903,70924,71105,71150,71163,71173,71193,71291,71314,71383,71486,71510,71599,71651,71735,71741,71791,71940,71950,72027,72217,72335,72406,72456,72461,72516,72517,72518,72703,72845,72923,72927,72997,73130,73132,73318,73355,73375,73395,73512,73604,73614,73659,73697,73761,73774,73919,73974,74194,74300,74303,74348,74381,74466,74524,74624,74677,74699,74728,74750,74763,74984,75248,75272,75285,75382,75422,75485,75572,75938,75999,76263,76344,76359,76401,76634,76683,76702,76717,76745,76803,76908,76961,77015,77116,77217,77280,77281,77295,77316,77380,77391,77395,77396,77409,77470,77471,77475,77479,77482,77483,77486,77488,77491,77492,77499,77501,77502,77504,77507,77510,77513,77518,77519,77520,77523,77524,77526,77529,77530,77531,77532,77534,77535,77540,77541,77543,77546,77552,77553,77557,77559,77560,77561	12/02/15 00:44:24
41804,42882,70486,70965,70984,71056,71426,71873,71924,71955,72051,72674,73287,73392,73589,74095,74429,74612,74829,74854,74939,75100,75147,75202,75542,75562,75612,75615,75640,75684,75703,75879,76112,76241,76507,76677,76882,76970,77129,77306,77346,77522	12/03/15 14:59:01
39192,43730,74457	12/03/15 15:12:48
70444,70445,70499,70696,70710,70806,71088,71208,71431,71594,71762,72052,72108,72122,72382,72387,72397,72422,72522,72583,73121,73153,73159,73313,73899,73942,74417,74594,74607,74692,74892,75279,75403,75410,75587,75641,75810,75885,76037,76181,76589,76733,76772,76841,76864,77205,77363,77412	12/03/15 18:37:21
70962,71349,74008	12/03/15 23:16:23
71972,72675,72841,73886,74099,76158,76393	12/04/15 15:44:51
72083,73438,74073,74235	12/04/15 16:58:47
40358,71255,72362,73601,73794,73811,75882,75913,77338,77485	12/04/15 22:36:54
17100,20791,35669,41168,49546,53452,65961,66663,66664,70570,70721,70913,70993,71662,71683,71835,72041,72099,72167,72203,72268,72708,72894,72985,73117,73184,73258,73356,73597,73885,74153,74299,74479,74798,75019,75119,75333,75396,75413,75429,75679,75800,75977,76094,76575,76696,76909,76944,77428,77468,77477	12/07/15 14:39:22
17678,71131,73690,74621,77398	12/07/15 22:31:52
18039,43692,46392,46393,46394,46395,46396,46397,49243,49441,49442,67863,70527,70560,71578,71892,72021,72043,72491,72902,73228,73418,73452,73893,74638,75267,75746,76412,76880,77286,77494,77528,77536	Thu Dec 10 19:35:52 2015
16981,42799,51804,76954	Sat Dec 12 21:33:29 2015
70689	Sun Dec 13 16:22:48 2015
41929,70413,70542,70649,71674,73093,73214,73552,73657,73937,74026,74043,74064,74785,75234,75731,77287,77503	Mon Dec 14 11:50:00 2015
65806,77343,77493	Tue Dec 15 03:24:51 2015
